"Repeat","OuterFold","Model","N_OuterTrain","N_OuterVal","N_Selected_Features","AUC","Accuracy","Sensitivity","Specificity","Precision","F1","MCC"
3,5,"XGBoost",83,9,15,1,0.888888888888889,1,0.8,0.8,0.888888888888889,0.8
3,6,"BinaryLogistic",83,9,19,0.575,0.555555555555556,0.75,0.4,0.5,0.6,0.158113883008419
3,6,"RandomForest",83,9,19,1,0.888888888888889,1,0.8,0.8,0.888888888888889,0.8
3,6,"SVM",83,9,19,0.75,0.555555555555556,0.75,0.4,0.5,0.6,0.158113883008419
3,6,"XGBoost",83,9,19,1,0.888888888888889,1,0.8,0.8,0.888888888888889,0.8
3,7,"BinaryLogistic",83,9,17,1,0.888888888888889,1,0.8,0.8,0.888888888888889,0.8
3,7,"RandomForest",83,9,17,1,1,1,1,1,1,1
3,7,"SVM",83,9,17,1,0.555555555555556,1,0.2,0.5,0.666666666666667,0.316227766016838
3,7,"XGBoost",83,9,17,0.85,0.888888888888889,0.75,1,1,0.857142857142857,0.790569415042095
3,8,"BinaryLogistic",82,10,18,0.6,0.6,0.6,0.6,0.6,0.6,0.2
3,8,"RandomForest",82,10,18,1,0.8,0.6,1,1,0.75,0.654653670707977
3,8,"SVM",82,10,18,0.52,0.5,0.4,0.6,0.5,0.444444444444444,0
3,8,"XGBoost",82,10,18,0.72,0.6,0.4,0.8,0.666666666666667,0.5,0.218217890235992
3,9,"BinaryLogistic",83,9,18,0.75,0.777777777777778,0.5,1,1,0.666666666666667,0.597614304667197
3,9,"RandomForest",83,9,18,0.75,0.666666666666667,0.5,0.8,0.666666666666667,0.571428571428572,0.316227766016838
3,9,"SVM",83,9,18,0.7,0.555555555555556,0.5,0.6,0.5,0.5,0.1
3,9,"XGBoost",83,9,18,0.9,0.777777777777778,0.75,0.8,0.75,0.75,0.55
3,10,"BinaryLogistic",83,9,20,0.575,0.555555555555556,0.4,0.75,0.666666666666667,0.5,0.158113883008419
3,10,"RandomForest",83,9,20,0.6,0.555555555555556,0.4,0.75,0.666666666666667,0.5,0.158113883008419
3,10,"SVM",83,9,20,0.75,0.555555555555556,0.4,0.75,0.666666666666667,0.5,0.158113883008419
3,10,"XGBoost",83,9,20,0.65,0.555555555555556,0.4,0.75,0.666666666666667,0.5,0.158113883008419
4,1,"BinaryLogistic",82,10,20,0.52,0.4,0.4,0.4,0.4,0.4,-0.2
