"Alpha","Lambda","Evaluation_1","Evaluation_2","Evaluation_3","Evaluation_4","Evaluation_5","Evaluation_6","Evaluation_7","Evaluation_8","Evaluation_9","Evaluation_10","Evaluation_11","Evaluation_12","Evaluation_13","Evaluation_14","Evaluation_15","Evaluation_16","Evaluation_17","Evaluation_18","Evaluation_19","Evaluation_20","Evaluation_21","Evaluation_22","Evaluation_23","Evaluation_24","Evaluation_25","Evaluation_26","Evaluation_27","Evaluation_28","Evaluation_29","Evaluation_30","Evaluation_31","Evaluation_32","Evaluation_33","Evaluation_34","Evaluation_35","Evaluation_36","Evaluation_37","Evaluation_38","Evaluation_39","Evaluation_40","Evaluation_41","Evaluation_42","Evaluation_43","Evaluation_44","Evaluation_45","Evaluation_46","Evaluation_47","Evaluation_48","Evaluation_49","Evaluation_50"
0,0.984528276329061,0.95,0.65,1,0.84,0.8,0.88,1,0.8,0.85,0.8,0.8,1,0.8,0.8,1,0.75,0.84,0.92,0.875,0.84,0.85,0.92,0.875,0.92,0.95,0.85,0.95,0.84,1,0.85,0.76,0.75,0.95,1,1,0.72,0.95,0.95,0.9,1,0.84,0.7,1,1,1,0.7,0.9375,1,0.88,0.8
0,0.897065497733619,0.95,0.65,1,0.84,0.8,0.88,1,0.8,0.85,0.8,0.8,1,0.8,0.8,1,0.75,0.84,0.92,0.875,0.84,0.85,0.92,0.875,0.92,0.95,0.85,0.95,0.84,1,0.85,0.76,0.75,0.95,1,1,0.72,0.95,0.9,0.9,1,0.84,0.7,1,1,1,0.7,0.9375,1,0.88,0.8
0,0.817372671331078,0.95,0.65,1,0.88,0.75,0.88,1,0.8,0.85,0.8,0.8,1,0.8,0.8,1,0.75,0.84,0.92,0.875,0.84,0.85,0.92,0.875,0.92,0.95,0.85,0.95,0.84,1,0.85,0.76,0.75,0.95,1,1,0.72,0.95,0.9,0.9,1,0.84,0.7,1,1,1,0.7,0.9375,1,0.88,0.8
0,0.744759535983505,0.95,0.65,1,0.88,0.75,0.88,1,0.8,0.85,0.8,0.8,1,0.8,0.8,1,0.75,0.84,0.92,0.875,0.84,0.8,0.92,0.875,0.92,0.95,0.85,0.95,0.84,1,0.85,0.76,0.75,0.95,1,1,0.72,0.95,0.9,0.9,1,0.84,0.7,1,1,1,0.7,0.9375,1,0.88,0.8
0,0.678597151450023,0.95,0.65,1,0.88,0.75,0.88,1,0.8,0.85,0.8,0.8,1,0.8,0.8,1,0.75,0.84,0.96,0.875,0.84,0.8,0.92,0.875,0.92,0.95,0.85,1,0.84,1,0.85,0.76,0.75,0.95,1,1,0.72,0.95,0.9,0.9,1,0.84,0.7,1,1,1,0.7,0.9375,1,0.88,0.8
0,0.618312450807323,0.95,0.65,1,0.88,0.75,0.88,1,0.8,0.85,0.8,0.85,1,0.8,0.8,1,0.75,0.84,0.96,0.875,0.84,0.8,0.92,0.875,0.92,0.95,0.85,1,0.84,1,0.85,0.76,0.75,0.95,1,1,0.72,0.95,0.9,0.9,1,0.84,0.7,1,1,1,0.7,0.9375,1,0.88,0.8
0,0.563383276818123,0.95,0.65,1,0.88,0.75,0.88,1,0.8,0.85,0.8,0.85,1,0.8,0.8,1,0.75,0.84,0.96,0.875,0.84,0.8,0.92,0.875,0.92,0.95,0.85,1,0.84,1,0.85,0.76,0.75,0.95,1,1,0.72,0.95,0.9,0.9,1,0.84,0.7,1,1,1,0.7,0.9375,1,0.88,0.8
0,0.513333859254977,0.95,0.65,1,0.88,0.75,0.88,1,0.8,0.85,0.8,0.85,1,0.8,0.8,1,0.75,0.84,0.96,0.875,0.84,0.8,0.92,0.875,0.92,0.95,0.85,1,0.84,1,0.85,0.76,0.75,0.95,1,1,0.72,0.95,0.9,0.9,1,0.84,0.7,1,1,1,0.7,0.9375,1,0.88,0.8
0,0.467730694006165,0.95,0.65,1,0.88,0.75,0.88,1,0.8,0.85,0.8,0.85,1,0.8,0.8,1,0.75,0.84,0.96,0.875,0.84,0.8,0.92,0.875,0.92,0.95,0.85,1,0.84,1,0.85,0.76,0.75,0.95,1,1,0.68,0.95,0.9,0.9,1,0.84,0.7,1,1,1,0.7,0.9375,1,0.88,0.8
0,0.426178788270468,0.95,0.65,1,0.88,0.75,0.88,1,0.8,0.85,0.8,0.85,1,0.8,0.8,1,0.75,0.84,0.96,0.875,0.84,0.8,0.92,0.875,0.92,0.95,0.85,1,0.84,1,0.85,0.76,0.75,0.95,1,1,0.68,0.95,0.9,0.9,1,0.84,0.7,1,1,1,0.7,0.9375,1,0.88,0.8
